shipment_id,supplier,product,distance_km,order_quantity,supplier_reliability,historical_delay_rate,lead_time_days,inventory_level,supplier_capacity,shipping_cost,weather_risk,demand_forecast,delay
SHP00028,Supplier_B,Batteries,1727,914,0.84,0.21,7,1162,3681,16077.64,0.7,2259,1
SHP00029,Supplier_D,Microchips,2602,1947,0.8,0.02,20,996,2401,13716.17,0.29,473,1
SHP00030,Supplier_D,Batteries,3908,1937,0.95,0.09,2,185,4407,7299.16,0.04,1386,0
SHP00031,Supplier_A,Batteries,292,1849,0.95,0.28,8,2643,7761,17589.74,0.51,467,0
SHP00032,Supplier_A,Displays,2774,361,0.9,0.11,3,842,2043,10429.97,0.49,477,0
SHP00033,Supplier_D,Displays,3945,782,0.89,0.18,25,1186,6363,13140.81,0.76,928,0
SHP00034,Supplier_B,Microchips,2677,1177,0.91,0.12,20,1412,1391,10164.81,0.87,924,1
SHP00035,Supplier_B,Batteries,191,388,0.81,0.32,2,604,5819,9328.04,0.35,773,0
SHP00036,Supplier_A,Microchips,4334,1271,0.82,0.2,27,2991,7879,17035.57,0.45,1719,1
SHP00037,Supplier_D,Sensors,580,349,0.86,0.25,10,995,6984,6246.74,0.47,2704,1
SHP00038,Supplier_A,Microchips,3016,1517,0.97,0.05,22,2622,2285,1214.27,0.32,1394,0
SHP00039,Supplier_A,Processors,4535,408,0.91,0.03,18,2271,7363,17655.76,0.74,2642,1
SHP00040,Supplier_C,Microchips,1175,1441,0.86,0.11,11,2734,6127,16587.97,0.52,2869,0
SHP00041,Supplier_C,Processors,2613,218,0.92,0.12,28,2304,7589,7647.93,0.91,2833,1
SHP00042,Supplier_C,Processors,898,1222,0.81,0.25,7,1416,9833,4116.3,0.65,2394,0
SHP00043,Supplier_B,Processors,4670,810,0.91,0.21,27,998,5037,13672.91,0.21,273,0
SHP00044,Supplier_D,Sensors,4049,817,0.82,0.14,4,153,7854,2035.84,0.16,135,1
SHP00045,Supplier_D,Microchips,704,1031,0.78,0.24,28,1096,4249,8763.22,0.37,401,1
SHP00046,Supplier_D,Microchips,3079,91,0.88,0.07,21,1910,2543,2174.32,0.35,985,1
SHP00047,Supplier_D,Sensors,697,251,0.9,0.04,25,2387,1791,12159.24,0.41,2180,1
SHP00048,Supplier_C,Batteries,1632,1019,0.83,0.3,16,2664,9628,1030.56,0.18,2529,1
SHP00049,Supplier_B,Displays,613,1317,0.86,0.21,22,1013,6170,12770.15,0.98,2001,1
SHP00050,Supplier_B,Microchips,1977,1742,0.9,0.23,29,887,7043,13627.51,0.15,2571,1
SHP00051,Supplier_C,Displays,4072,513,0.92,0.12,23,2508,7098,9999.32,0.65,1806,1
SHP00052,Supplier_B,Sensors,3943,498,0.96,0.14,27,1632,8448,3912.64,0.01,1802,1
SHP00053,Supplier_C,Batteries,1799,962,0.8,0.05,21,931,8211,2477.18,0.41,2873,0
SHP00054,Supplier_D,Batteries,1129,847,0.98,0.3,7,2983,5782,6609.2,0.31,792,1
SHP00055,Supplier_C,Batteries,4695,843,0.88,0.22,4,473,8798,9571.53,0.38,694,0
SHP00056,Supplier_D,Sensors,816,486,0.93,0.05,11,2252,4959,13023.06,0.5,2562,0
SHP00057,Supplier_D,Processors,4186,1966,0.9,0.29,13,2248,5364,524.38,0.6,973,1
SHP00058,Supplier_A,Processors,765,1823,0.76,0.17,2,261,2716,14365.75,0.58,418,1
SHP00059,Supplier_C,Displays,2308,580,0.72,0.27,23,1265,4636,14397.88,0.63,857,0
SHP00060,Supplier_A,Processors,1179,614,0.91,0.02,17,930,8870,9168.49,0.84,1557,1
SHP00061,Supplier_C,Processors,327,1670,0.85,0.03,18,804,8361,7196.43,0.89,2206,0
SHP00062,Supplier_C,Batteries,248,1346,0.9,0.08,11,1171,6671,16925.02,0.74,276,0
SHP00063,Supplier_A,Batteries,1169,1503,0.84,0.09,13,2638,9380,15799.46,0.08,1665,0
SHP00064,Supplier_A,Displays,4827,921,0.79,0.27,20,750,6726,19673.88,0.96,408,0
SHP00065,Supplier_C,Microchips,1463,262,0.78,0.25,29,2269,8557,7752.65,0.95,253,0
SHP00066,Supplier_B,Displays,4608,998,0.91,0.22,9,420,8782,18183.24,0.71,1066,0
SHP00067,Supplier_D,Displays,1855,1946,0.78,0.31,24,1782,3718,2204.34,0.52,2131,1
SHP00068,Supplier_A,Sensors,619,1177,0.91,0.1,9,1213,3405,8523.59,0.25,1263,1
SHP00069,Supplier_D,Sensors,3644,241,0.81,0.32,11,962,8887,9574.8,0.76,2916,1
SHP00070,Supplier_B,Displays,2422,1762,0.92,0.32,11,1878,9003,9097.05,0.88,484,1
SHP00071,Supplier_B,Displays,1202,1732,0.74,0.16,19,851,8718,12689.41,0.67,2895,1
SHP00072,Supplier_B,Displays,697,1453,0.76,0.05,11,2353,9532,3819.05,0.63,723,0
SHP00073,Supplier_A,Processors,3373,1154,0.9,0.26,8,1039,3881,17395.82,0.19,1156,1
SHP00074,Supplier_B,Sensors,4149,754,0.86,0.13,5,725,7710,11259.4,0.36,1831,1
SHP00075,Supplier_A,Displays,2705,598,0.76,0.28,2,2961,1643,18132.09,0.72,1769,0
SHP00076,Supplier_B,Batteries,2288,1450,0.96,0.07,12,465,1020,551.32,0.02,1559,0
SHP00077,Supplier_D,Batteries,4925,1911,0.78,0.2,20,2426,1677,12784.77,0.64,2022,1
SHP00078,Supplier_D,Processors,688,203,0.82,0.19,6,1212,3650,8542.93,0.77,1970,1
SHP00079,Supplier_C,Processors,4572,1715,0.76,0.05,27,1011,4469,10349.43,0.33,105,1
SHP00080,Supplier_D,Microchips,1507,620,0.81,0.14,9,2921,8886,15004.19,0.08,1928,0
SHP00081,Supplier_C,Microchips,4946,1809,0.84,0.05,3,1670,5183,4929.46,0.82,790,0
SHP00082,Supplier_D,Microchips,4822,1834,0.79,0.17,3,1585,8086,4495.54,0.14,2942,0
SHP00083,Supplier_A,Processors,3490,289,0.92,0.3,25,298,8377,14208.65,0.37,1741,1
SHP00084,Supplier_D,Processors,3540,423,0.81,0.11,15,1936,6684,10666.63,0.71,1960,1
SHP00085,Supplier_C,Processors,1729,1974,0.91,0.27,10,2842,3687,5055.96,0.82,1354,0
SHP00086,Supplier_C,Batteries,1094,854,0.76,0.08,11,2405,7596,9938.36,0.86,1524,0
SHP00087,Supplier_B,Processors,4898,848,0.81,0.24,14,622,2416,9461.39,0.53,2874,0
SHP00088,Supplier_A,Batteries,2159,1277,0.7,0.32,2,1858,5405,13983.17,0.48,884,0
SHP00089,Supplier_D,Microchips,4672,660,0.92,0.13,15,847,8074,551.89,0.85,716,0
SHP00090,Supplier_B,Microchips,3086,1423,0.88,0.32,3,1050,1491,11941.83,0.56,985,1
SHP00091,Supplier_D,Microchips,500,737,0.94,0.19,5,810,1759,12310.72,0.58,2170,0
SHP00092,Supplier_D,Displays,2955,823,0.83,0.12,29,342,4501,15037.45,0.43,2954,0
SHP00093,Supplier_B,Displays,2324,1856,0.93,0.32,20,2507,9192,17839.99,0.37,260,1
SHP00094,Supplier_B,Sensors,3512,192,0.89,0.03,2,247,3088,9083.7,0.48,1317,0
SHP00095,Supplier_B,Sensors,156,1262,0.7,0.03,5,129,4656,7179.14,0.36,2413,0
SHP00096,Supplier_B,Sensors,1975,321,0.77,0.22,12,1458,5767,2495.25,0.34,182,1
SHP00097,Supplier_B,Displays,4643,1605,0.84,0.28,14,186,1211,7068.3,0.99,267,1
SHP00098,Supplier_D,Displays,4398,1918,0.88,0.27,28,262,8975,1835.45,0.34,2802,1
SHP00099,Supplier_B,Sensors,3868,1373,0.72,0.05,19,1912,4722,16154.99,0.26,2702,1
SHP00100,Supplier_A,Sensors,4933,475,0.9,0.33,11,668,1303,16236.62,0.35,443,1
SHP00101,Supplier_C,Processors,4397,95,0.86,0.25,6,1009,5786,8636.13,0.59,111,0
SHP00102,Supplier_B,Sensors,1453,144,0.85,0.33,2,2263,4772,5563.0,0.91,1653,1
SHP00103,Supplier_B,Processors,2510,113,0.78,0.13,15,2527,2781,2801.39,0.79,549,1
SHP00104,Supplier_D,Batteries,4411,462,0.87,0.25,17,2218,4225,17099.12,0.84,673,1
SHP00105,Supplier_B,Displays,2702,1716,0.71,0.3,25,2428,9999,17611.16,0.86,1824,1
SHP00106,Supplier_B,Sensors,3034,1082,0.72,0.15,27,1772,7739,5692.65,0.92,2738,1
SHP00107,Supplier_B,Displays,122,508,0.91,0.34,19,1211,8273,12624.33,0.24,2637,1
SHP00108,Supplier_D,Displays,2302,1788,0.79,0.11,28,1939,5203,5543.75,0.46,1290,0
SHP00109,Supplier_B,Displays,1309,1482,0.8,0.12,4,2090,2353,4889.97,0.39,2809,1
SHP00110,Supplier_C,Batteries,2396,519,0.76,0.32,4,1603,9371,913.56,0.38,564,0
SHP00111,Supplier_D,Microchips,848,859,0.83,0.34,5,1149,7274,11754.61,0.65,1858,1
SHP00112,Supplier_C,Sensors,904,555,0.72,0.11,8,2717,2830,3423.86,0.4,2764,0
SHP00113,Supplier_D,Microchips,233,1759,0.79,0.07,14,1738,5698,741.24,0.62,1889,1
SHP00114,Supplier_B,Microchips,4516,1146,0.85,0.27,10,86,5002,2544.6,0.38,106,1
SHP00115,Supplier_C,Microchips,2537,133,0.84,0.33,4,894,3800,6618.5,0.31,2949,0
SHP00116,Supplier_D,Displays,533,108,0.99,0.22,18,1731,7902,13548.68,0.35,1318,1
SHP00117,Supplier_A,Processors,3771,1094,0.81,0.23,16,2894,5263,4451.15,0.8,418,0
SHP00118,Supplier_B,Displays,3836,1531,0.81,0.27,28,1693,1222,17808.02,0.6,2277,1
SHP00119,Supplier_D,Displays,4139,967,0.85,0.07,11,2383,3237,6125.52,0.97,2256,1
SHP00120,Supplier_A,Microchips,2198,206,0.76,0.34,16,1313,3578,6958.91,0.83,2366,0
SHP00121,Supplier_D,Displays,3017,1904,0.95,0.14,2,2984,2778,4750.56,0.49,2653,1
SHP00122,Supplier_A,Microchips,352,1402,0.87,0.23,29,2317,1620,5449.2,0.24,528,1
SHP00123,Supplier_B,Processors,4934,1646,0.76,0.17,28,2093,5054,1945.63,0.67,1954,1
SHP00124,Supplier_C,Sensors,1229,625,0.93,0.17,23,265,8466,6248.03,0.73,2789,1
SHP00125,Supplier_A,Microchips,3364,886,0.71,0.25,22,730,6430,17262.54,0.46,343,0
SHP00126,Supplier_D,Processors,401,729,0.98,0.35,11,2390,7379,13924.28,0.23,2585,0
SHP00127,Supplier_B,Sensors,2077,252,0.95,0.24,8,1862,5263,17567.73,0.56,406,0
SHP00128,Supplier_A,Batteries,2863,1714,0.87,0.28,8,1557,3240,2544.75,0.25,1932,1
SHP00129,Supplier_D,Microchips,4105,1830,0.73,0.03,4,2140,9043,9384.52,0.94,1000,1
SHP00130,Supplier_D,Microchips,3341,1179,0.76,0.29,8,1166,2362,4970.47,0.63,1720,1
SHP00131,Supplier_D,Batteries,3157,1906,0.78,0.12,10,1342,3240,14563.7,0.29,2556,1
SHP00132,Supplier_A,Batteries,650,1195,0.77,0.06,9,1694,6521,19419.64,0.22,848,0
SHP00133,Supplier_A,Microchips,1687,367,0.84,0.06,4,2790,7535,16399.51,0.72,2148,0
SHP00134,Supplier_A,Batteries,1922,1255,0.97,0.24,27,1288,7744,1187.92,0.71,876,1
SHP00135,Supplier_C,Displays,3317,1688,0.83,0.35,6,1008,9284,6674.86,0.6,293,0
SHP00136,Supplier_A,Sensors,3596,1389,0.89,0.24,14,2211,2238,1057.3,0.61,1992,1
SHP00137,Supplier_A,Sensors,4509,1887,0.9,0.11,14,1198,7492,1283.26,0.6,2269,1
SHP00138,Supplier_A,Sensors,4379,1846,0.95,0.09,9,2334,5608,2050.55,0.36,2511,0
SHP00139,Supplier_C,Displays,812,1698,0.71,0.19,19,2750,8502,5888.38,0.94,1127,1
SHP00140,Supplier_A,Batteries,2275,455,0.82,0.04,8,1878,4470,6431.95,0.48,248,0
SHP00141,Supplier_D,Processors,4172,1035,0.93,0.15,28,207,5201,8308.84,0.02,2941,0
SHP00142,Supplier_A,Batteries,3949,998,0.94,0.24,11,957,6351,8396.16,0.35,1240,1
SHP00143,Supplier_D,Microchips,2533,1143,0.97,0.34,11,1578,6413,15542.48,0.13,2993,0
SHP00144,Supplier_D,Sensors,3401,1233,0.9,0.16,24,2950,8432,3257.36,0.36,337,1
SHP00145,Supplier_D,Batteries,370,1313,0.77,0.09,12,1190,6971,3575.94,0.61,1261,0
SHP00146,Supplier_C,Processors,1894,1596,0.85,0.29,13,2983,8437,12718.49,0.02,829,0
SHP00147,Supplier_C,Microchips,2562,1211,0.71,0.27,14,1609,4901,11648.97,0.87,557,1
SHP00148,Supplier_C,Displays,4393,544,0.89,0.3,9,2157,4628,3503.09,0.61,2632,1
SHP00149,Supplier_A,Displays,3494,728,0.86,0.09,18,2498,2768,17119.16,0.3,2142,1
SHP00150,Supplier_D,Processors,1179,1320,0.89,0.15,25,1947,6352,6916.66,0.31,1854,1
SHP00151,Supplier_C,Microchips,2978,1939,0.97,0.34,15,877,3901,7655.86,0.47,2996,0
SHP00152,Supplier_C,Sensors,4823,1616,0.9,0.07,18,1850,2541,8698.97,0.25,813,1
SHP00153,Supplier_A,Batteries,703,1597,0.79,0.24,20,1253,3091,6792.69,0.0,1710,1
SHP00154,Supplier_C,Microchips,1685,1316,0.76,0.1,17,2573,8742,11370.37,0.03,443,0
SHP00155,Supplier_A,Displays,3157,1693,0.95,0.19,10,2752,9283,8078.63,0.36,1462,0
SHP00156,Supplier_B,Processors,4085,1409,0.76,0.28,21,894,5854,5558.98,0.12,2383,1
SHP00157,Supplier_C,Processors,4789,1495,0.75,0.18,11,1318,9922,18137.26,0.02,1587,1
SHP00158,Supplier_B,Batteries,1495,884,0.76,0.29,10,687,6049,6512.84,0.86,762,0
SHP00159,Supplier_A,Processors,3788,243,0.85,0.16,2,698,6557,14120.53,0.27,2523,0
SHP00160,Supplier_D,Processors,699,357,0.74,0.35,25,2310,5432,7270.92,0.5,345,1
SHP00161,Supplier_C,Microchips,613,1718,0.97,0.16,4,1679,9891,8986.79,0.18,1377,1
SHP00162,Supplier_A,Sensors,1166,1980,0.98,0.07,12,1039,8987,5100.9,0.05,2713,0
SHP00163,Supplier_D,Batteries,2986,555,0.98,0.15,8,853,6020,15170.43,0.74,2846,0
SHP00164,Supplier_D,Microchips,2753,330,0.71,0.27,19,177,4014,14875.46,0.12,2428,1
SHP00165,Supplier_B,Sensors,1188,1876,0.97,0.3,14,1001,7248,933.68,0.03,2214,0
SHP00166,Supplier_A,Microchips,4485,724,0.99,0.17,24,2314,3016,1673.78,0.59,1656,1
SHP00167,Supplier_D,Microchips,4964,1863,0.97,0.22,24,2808,1977,18486.34,0.01,1657,1
SHP00168,Supplier_C,Processors,2614,982,0.89,0.3,26,69,5210,17832.12,0.44,2322,0
SHP00169,Supplier_C,Sensors,4069,1512,0.9,0.29,19,1831,8034,10368.7,0.29,1314,0
SHP00170,Supplier_B,Batteries,3384,764,0.74,0.24,17,724,2258,10120.47,0.32,2432,0
SHP00171,Supplier_D,Batteries,4666,657,0.95,0.29,25,2811,2297,16342.27,0.0,404,1
SHP00172,Supplier_A,Sensors,2296,532,0.72,0.21,17,788,8397,3199.78,0.96,892,1
SHP00173,Supplier_C,Processors,4283,1296,0.79,0.02,22,606,7872,13247.13,0.52,506,0
SHP00174,Supplier_D,Displays,889,1822,0.99,0.03,11,2294,5129,9781.67,0.57,431,0
SHP00175,Supplier_D,Microchips,3575,166,0.82,0.34,10,2775,2732,14994.96,0.67,2452,0
SHP00176,Supplier_B,Processors,3253,1017,0.74,0.07,9,553,3942,1087.0,0.8,2137,0
SHP00177,Supplier_C,Sensors,1764,241,0.98,0.15,20,1320,1448,12058.15,0.61,1896,0
SHP00178,Supplier_C,Microchips,1409,837,0.99,0.33,4,787,5500,11356.2,0.76,2816,0
SHP00179,Supplier_A,Batteries,964,667,0.75,0.08,28,841,9524,16896.54,0.45,2920,1
SHP00180,Supplier_C,Displays,3963,565,0.95,0.3,29,1420,7133,13698.31,0.37,650,0
SHP00181,Supplier_A,Batteries,3463,1603,0.81,0.29,27,246,1165,17663.13,0.82,1460,1
SHP00182,Supplier_C,Sensors,3624,356,0.81,0.35,25,1180,5832,17801.83,0.87,1153,1
SHP00183,Supplier_B,Microchips,3886,581,0.78,0.11,10,2878,3774,8459.2,0.14,539,1
SHP00184,Supplier_C,Sensors,123,171,0.71,0.12,3,793,6020,3179.97,0.54,357,0
SHP00185,Supplier_A,Microchips,3103,698,0.78,0.32,20,1686,8748,12790.53,0.68,882,1
SHP00186,Supplier_A,Processors,410,641,0.72,0.1,9,1233,5744,17538.05,0.08,2710,0
SHP00187,Supplier_B,Displays,1331,1227,0.97,0.2,19,2519,1446,1961.59,0.93,1914,0
SHP00188,Supplier_C,Processors,3888,919,0.89,0.25,9,1680,1096,11379.5,0.52,333,0
SHP00189,Supplier_C,Processors,2811,1610,0.96,0.11,6,2001,3426,2742.49,0.65,2173,0
SHP00190,Supplier_B,Sensors,4901,1525,0.91,0.33,7,2088,4257,1026.42,0.18,2670,1
SHP00191,Supplier_C,Displays,521,1242,0.74,0.24,11,1386,5726,13752.89,0.26,2531,0
SHP00192,Supplier_C,Microchips,1873,108,0.97,0.04,16,2529,7851,13796.07,0.12,492,0
SHP00193,Supplier_A,Microchips,3668,350,0.96,0.06,29,975,9694,12212.83,0.26,561,0
SHP00194,Supplier_C,Batteries,1046,602,0.8,0.08,5,284,9189,17254.84,0.49,1851,0
SHP00195,Supplier_C,Microchips,1286,1623,0.73,0.1,4,2424,9256,2077.09,0.83,938,0
SHP00196,Supplier_B,Sensors,1934,1190,0.9,0.26,25,528,7740,2552.58,0.53,2884,1
SHP00197,Supplier_B,Processors,1664,1860,0.91,0.05,10,2525,7714,17358.44,0.24,209,0
SHP00198,Supplier_D,Processors,2047,1855,0.96,0.14,17,715,1661,10313.9,0.04,1598,1
SHP00199,Supplier_A,Processors,1408,1200,0.72,0.32,17,1173,9672,5824.53,0.62,1451,1
SHP00200,Supplier_C,Displays,3086,1478,0.74,0.2,16,2955,7879,14894.06,0.42,305,1
SHP00201,Supplier_C,Microchips,486,448,0.87,0.11,25,1437,5662,17940.87,0.98,1194,1
SHP00202,Supplier_D,Sensors,1261,564,0.88,0.34,10,691,8815,13947.26,0.78,309,1
SHP00203,Supplier_C,Displays,3358,854,0.71,0.1,18,2908,4261,15942.69,0.81,284,1
SHP00204,Supplier_A,Batteries,4911,1958,0.82,0.32,22,1566,1405,6008.7,0.01,2749,1
SHP00205,Supplier_D,Sensors,4033,547,0.87,0.26,13,624,5860,6131.12,0.78,2906,1
SHP00206,Supplier_A,Sensors,2947,991,0.91,0.26,24,1771,4560,17350.42,0.19,1506,1
SHP00207,Supplier_D,Sensors,4621,577,0.79,0.27,9,1068,8856,12489.83,0.59,2892,1
SHP00208,Supplier_D,Processors,1539,447,0.84,0.19,15,1377,7690,5066.17,0.45,990,0
SHP00209,Supplier_B,Sensors,3542,1338,0.94,0.29,28,2900,6331,10721.16,0.57,498,0
SHP00210,Supplier_A,Microchips,4580,1824,0.98,0.3,19,449,4440,13874.28,0.13,2692,1
SHP00211,Supplier_C,Sensors,155,1336,0.77,0.14,13,644,1741,4761.71,0.46,1782,1
SHP00212,Supplier_C,Processors,3424,1471,0.77,0.15,28,1506,8181,13270.67,0.04,2829,1
SHP00213,Supplier_A,Sensors,205,1719,0.97,0.31,15,1645,8731,1321.82,0.04,1077,0
SHP00214,Supplier_C,Batteries,3301,1798,0.81,0.19,21,166,3921,6421.99,0.66,413,1
SHP00215,Supplier_C,Batteries,769,1600,0.91,0.31,24,432,8374,13642.45,0.95,327,0
SHP00216,Supplier_A,Processors,4571,485,0.88,0.23,6,908,8023,3412.31,0.78,2805,1
SHP00217,Supplier_D,Microchips,842,889,0.78,0.22,2,2179,6561,4832.88,0.47,1269,0
SHP00218,Supplier_A,Microchips,1066,409,0.89,0.03,14,1900,6634,17642.32,0.06,2839,0
SHP00219,Supplier_D,Displays,407,1202,0.89,0.11,15,881,1910,13649.26,0.05,2447,0
SHP00220,Supplier_C,Processors,2238,913,0.87,0.19,3,922,5702,10228.91,0.16,1026,0
SHP00221,Supplier_C,Sensors,3564,683,0.73,0.21,17,2750,2418,4612.42,0.98,2889,1
SHP00222,Supplier_C,Processors,4997,1314,0.99,0.23,6,2831,6798,7157.49,0.4,2208,0
SHP00223,Supplier_B,Displays,209,1700,0.82,0.26,23,2167,8698,11699.44,0.84,2455,0
SHP00224,Supplier_D,Processors,3732,1782,0.89,0.24,2,436,5038,3528.6,0.71,1946,1
SHP00225,Supplier_B,Processors,4535,1295,0.96,0.3,13,2056,4445,9894.01,0.61,636,1
SHP00226,Supplier_B,Displays,2015,263,0.82,0.12,20,2621,1131,8475.0,0.95,174,1
SHP00227,Supplier_A,Microchips,4363,965,0.92,0.23,23,346,6862,9795.4,0.23,1776,0
SHP00228,Supplier_B,Sensors,656,641,0.98,0.04,23,2714,1152,2558.44,0.45,1541,1
SHP00229,Supplier_A,Displays,204,1848,0.8,0.18,24,768,3478,2576.69,0.86,1726,1
SHP00230,Supplier_A,Batteries,2147,184,0.82,0.11,11,1648,9674,19300.16,0.55,1699,0
SHP00231,Supplier_B,Microchips,245,1891,0.96,0.15,13,2275,7116,19597.67,0.25,2741,0
SHP00232,Supplier_D,Batteries,2863,803,0.75,0.14,20,2016,1304,8810.21,0.21,708,0
SHP00233,Supplier_D,Microchips,973,435,0.71,0.04,17,1232,3519,15885.41,0.75,711,0
SHP00234,Supplier_D,Sensors,398,1376,0.96,0.17,18,60,7112,13287.93,0.01,1120,0
SHP00235,Supplier_D,Sensors,3338,1855,0.94,0.35,14,834,1992,2779.88,0.91,884,0
SHP00236,Supplier_D,Processors,745,1360,0.98,0.12,8,460,6647,6285.23,0.02,340,0
SHP00237,Supplier_B,Batteries,4833,1635,0.72,0.26,29,2989,8597,6616.2,0.63,2152,1
SHP00238,Supplier_B,Microchips,3178,1262,0.75,0.2,28,2704,9906,12117.6,0.6,1338,1
SHP00239,Supplier_C,Sensors,2611,1370,0.73,0.13,4,2252,2709,11809.55,0.58,1702,0
SHP00240,Supplier_D,Displays,883,1599,0.9,0.05,6,1279,9018,18508.42,0.47,2634,0
SHP00241,Supplier_B,Sensors,470,438,0.88,0.09,5,648,1470,15905.71,0.85,2504,0
SHP00242,Supplier_C,Displays,586,1532,0.8,0.28,29,873,4465,17208.53,0.66,493,1
SHP00243,Supplier_D,Microchips,2137,793,0.72,0.11,16,2447,9932,17878.96,0.78,1514,0
SHP00244,Supplier_A,Sensors,3296,1334,0.89,0.07,18,1171,4566,16124.9,0.12,468,1
SHP00245,Supplier_C,Sensors,1460,753,0.87,0.13,13,68,9704,6991.18,0.05,2176,1
SHP00246,Supplier_B,Microchips,4387,974,0.73,0.21,24,362,6234,4692.75,0.03,1940,1
SHP00247,Supplier_A,Sensors,4925,1788,0.96,0.25,15,2625,4285,11649.46,0.15,1546,1
SHP00248,Supplier_A,Displays,2361,822,0.76,0.15,5,2654,9551,13946.58,0.67,108,1
SHP00249,Supplier_A,Sensors,2721,1186,0.92,0.18,18,2542,1284,8038.08,0.49,433,1
SHP00250,Supplier_C,Batteries,1056,1959,0.96,0.17,12,1995,4277,17042.6,0.75,1049,1
SHP00251,Supplier_B,Processors,480,913,0.87,0.02,7,280,3631,19231.05,0.19,2377,0
SHP00252,Supplier_A,Displays,3749,1109,0.77,0.15,5,2722,2757,11603.22,0.37,492,1
SHP00253,Supplier_D,Batteries,4993,128,0.79,0.21,14,2986,6479,9403.55,0.89,1951,1
SHP00254,Supplier_A,Microchips,338,1348,0.96,0.21,21,2456,6787,16936.3,0.94,1431,0
SHP00255,Supplier_A,Displays,1205,1351,0.79,0.27,16,93,6449,973.26,0.92,878,1
SHP00256,Supplier_C,Processors,1486,723,0.92,0.24,19,2974,5838,3015.75,0.82,1798,0
SHP00257,Supplier_C,Processors,2652,361,0.99,0.11,18,2320,9549,16990.32,0.69,486,1
SHP00258,Supplier_B,Microchips,2349,1602,0.99,0.1,20,2999,4465,14774.56,0.91,2256,0
SHP00259,Supplier_D,Microchips,1627,253,0.85,0.17,11,1338,7048,8614.67,0.71,2486,1
SHP00260,Supplier_C,Displays,1767,1034,0.94,0.26,6,2368,7730,17832.61,0.95,2712,0
SHP00261,Supplier_A,Sensors,4232,66,0.99,0.05,13,2309,5135,7353.44,0.02,1883,1
SHP00262,Supplier_B,Microchips,2791,1787,0.81,0.33,26,1569,4141,12859.98,0.92,1945,1
SHP00263,Supplier_A,Sensors,3772,525,0.77,0.2,16,1460,5553,12869.52,0.56,2980,0
SHP00264,Supplier_A,Batteries,2096,1584,0.73,0.12,24,2344,1196,4094.47,0.11,321,1
